,Country,Dec
0,afghanistan,0.6
1,albania,8.1
2,algeria,14.6
3,andorra,3.0
4,angola,26.9
5,antigua and barbuda,25.9
6,argentina,21.023529411764706
7,armenia,-0.2
8,aruba,27.2
9,australia,23.3
10,austria,1.1
11,azerbaijan,7.3
12,bahrain,19.3
13,bangladesh,20.0
14,barbados,26.4
15,belarus,-3.4
16,belgium,3.9
17,belize,24.5
18,benin,26.066666666666666
19,bermuda,19.5
20,bolivia,17.8
21,bosnia and herzegovina,0.9
22,botswana,25.633333333333336
23,brazil,23.16875
24,bulgaria,0.7
25,burkina faso,24.85
26,burundi,23.6
27,cambodia,26.3
28,cameroon,24.325
29,canada,-9.206666666666667
30,cape verde,23.4
31,cayman islands,26.2
32,central african republic,23.95
33,chad,24.95
34,chile,17.066666666666666
35,china,1.6727272727272726
36,colombia,21.133333333333333
37,costa rica,22.3
38,croatia,5.25
39,cuba,23.0
40,curaçao,27.2
41,cyprus,12.0
42,czech republic,-0.3
43,democratic republic of the congo,23.700000000000003
44,denmark,2.5
45,djibouti,25.4
46,dominica,25.4
47,dominican republic,24.9
48,east timor,27.4
49,ecuador,20.75
50,egypt,14.95
51,el salvador,22.0
52,equatorial guinea,25.8
53,eritrea,20.049999999999997
54,estonia,-1.9
55,ethiopia,16.75
56,falkland islands,8.1
57,fiji,26.9
58,finland,-5.266666666666667
59,france,7.3500000000000005
60,french guiana,26.6
61,gabon,26.35
62,georgia,43.6
63,germany,1.9
64,ghana,26.566666666666666
65,greece,12.6
66,greenland,-6.2
67,guinea,25.200000000000003
68,guinea-bissau,26.0
69,guyana,26.4
70,honduras,22.0
71,hong kong,17.9
72,hungary,1.8
73,iceland,-0.2
74,india,20.266666666666666
75,indonesia,26.2875
76,iran,23.066666666666666
77,iraq,9.75
78,ireland,5.6
79,israel,13.0
80,italy,8.8
81,ivory coast,25.5
82,jamaica,26.7
83,japan,7.771428571428571
84,kazakhstan,-7.4
85,kenya,25.8
86,kuwait,14.1
87,kyrgyzstan,-0.9
88,laos,21.7
89,latvia,-2.3
90,lebanon,15.8
91,libya,13.55
92,liechtenstein,1.9
93,lithuania,-2.9
94,luxembourg,1.8
95,macedonia,1.7
96,madagascar,24.433333333333334
97,malawi,23.266666666666666
98,malaysia,26.7
99,maldives,27.5
100,mali,23.599999999999998
101,malta,13.9
102,mauritania,21.0
103,mexico,16.400000000000002
104,moldova,-0.6
105,monaco,11.2
106,mongolia,-19.0
107,montenegro,6.5
108,morocco,11.766666666666666
109,mozambique,25.5
110,myanmar,23.799999999999997
111,nepal,11.3
112,netherlands,4.0
113,new zealand,16.211111111111112
114,nicaragua,26.2
115,niger,25.0
116,nigeria,25.5
117,north korea,-2.9
118,norway,-1.0666666666666667
119,oman,22.0
120,pakistan,16.85
121,panama,27.0
122,papua new guinea,27.8
123,paraguay,26.5
124,peru,19.7
125,philippines,27.0
126,poland,-0.25
127,portugal,12.4
128,puerto rico,24.8
129,republic of the congo,25.96666666666667
130,romania,0.2
131,russia,-10.275
132,"saint pierre
and miquelon",0.4
133,san marino,4.2
134,saudi arabia,14.5
135,senegal,23.0
136,serbia,2.7
137,singapore,26.0
138,slovakia,0.7
139,slovenia,1.2
140,solomon islands,26.8
141,somalia,23.5
142,south africa,22.05
143,south korea,0.4
144,south sudan,27.1
145,spain,12.6
146,sri lanka,26.6
147,sudan,24.6
148,suriname,26.4
149,sweden,-1.0
150,switzerland,1.4
151,syria,7.5
152,taiwan,17.9
153,tajikistan,4.8
154,tanzania,25.225
155,thailand,24.275
156,the bahamas,21.9
157,the gambia,24.0
158,togo,26.9
159,tunisia,12.75
160,turkey,3.6249999999999996
161,turkmenistan,5.1
162,uganda,21.0
163,ukraine,-1.0
164,"united arab
emirates",20.6
165,united kingdom,4.45
166,united states,5.55576923076923
167,uruguay,21.3
168,uzbekistan,3.5
169,vanuatu,25.7
170,venezuela,20.7
171,vietnam,20.625
172,yemen,20.5
173,zambia,22.099999999999998
174,zimbabwe,21.15
